gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,3152.98423329473,-0.229989147030156,0.174605780673666,-1.31719090938919,0.187774640288406,0.596693221000705
ENSG00000000419,2430.69215429589,0.0473327185969118,0.102235818625766,0.462975884901683,0.643381652601322,0.887442576835671
ENSG00000000457,707.653117109797,0.200528775504027,0.118104418721998,1.69789392872798,0.0895277833593489,0.464455622049379
ENSG00000000460,709.850142881235,0.354958135565081,0.155365542739766,2.28466447132122,0.0223325094140434,0.271526535678584
ENSG00000000938,539.183450270758,-0.0177001792004143,0.287555998615636,-0.0615538513737402,0.950918128478786,0.987139722864539
ENSG00000000971,3931.93463987483,0.457988540919797,0.366231465783435,1.25054394203971,0.211100913847236,0.625218772273077
ENSG00000001036,2853.5184641862,-0.00179618217338134,0.188926471876143,-0.00950730808416773,0.992414379941003,0.997140231607459
ENSG00000001084,4098.46121591828,-0.280398730298797,0.353018168173773,-0.794289800293709,0.427026740519268,0.783523335183235
ENSG00000001167,1631.69008783173,0.119095033075668,0.122828857865786,0.969601404303562,0.332245212675188,0.72601855815947
ENSG00000001460,689.903631448695,0.0477693774870843,0.15505664914199,0.308076936728721,0.758023790120218,0.931517533317442
ENSG00000001461,2165.88193213742,-0.14223143990724,0.141305164183183,-1.00655514417617,0.314148599278787,0.715630602362416
ENSG00000001497,3763.0446508036,-0.314118186358749,0.131376870553953,-2.39097022964745,0.0168039153695137,0.240038069222561
ENSG00000001561,599.77852730874,0.415893984721818,0.421254626472273,0.987274580708237,0.323508048497273,0.721223808467498
ENSG00000001617,8739.92472694888,-0.131317770917253,0.20157448666825,-0.651460276981258,0.514749411261241,0.826927752384041
ENSG00000001626,233.845733061562,0.818952777396587,0.620229439189593,1.32040294389549,0.186700521238418,0.596233567585428
ENSG00000001629,2697.88817665926,0.117658127400684,0.125602013470388,0.936753513337772,0.348885362542023,0.737503756986902
ENSG00000001630,89.7105921331737,0.181960193624354,0.345500828400986,0.526656316473927,0.598432276161109,0.865385255930877
ENSG00000001631,334.481177352019,0.03507767013554,0.0953639953725356,0.367829283981974,0.713000532027215,0.913115417158191
ENSG00000002016,488.978581008218,0.109975204571169,0.165037613962572,0.666364484620515,0.505178157442823,0.823615202942135
ENSG00000002330,585.686571455059,-0.17565541799895,0.160159300922519,-1.09675440007027,0.272748768751984,0.681916329038663
ENSG00000002549,6927.02643789221,0.0329617230443694,0.230517339767878,0.142990210964435,0.886297912266992,0.970336577334819
ENSG00000002586,10592.9911856902,0.185547367452279,0.209781281153722,0.884480094848474,0.376437102986881,0.755235587613459
ENSG00000002587,899.523512720073,0.147964741367971,0.295148254949785,0.501323449779993,0.616143504421989,0.875226903625723
ENSG00000002726,1204.58710172209,-1.20026587112177,0.623494891782211,-1.92506127466563,0.054221692943357,0.385318383876249
ENSG00000002745,25.8203678200623,0.294649621674687,0.418627661791233,0.703846517007343,0.481528361335944,0.811972404252825
ENSG00000002746,36.3073854698363,0.366666593050594,0.379874876344333,0.96522991090949,0.334429668522765,0.727305196124569
ENSG00000002822,31.2157715924234,0.0100335227261943,0.280464763018624,0.0357746285779511,0.971462063575224,0.991477565350335
ENSG00000002834,10245.9040365653,0.0368025580013149,0.123123536383009,0.298907577563647,0.765010565227309,0.932420266422046
ENSG00000002919,1518.40063140141,-0.0932767203394938,0.0945879206768042,-0.986137761270907,0.324065515763833,0.721523859659189
ENSG00000002933,1621.07484931,-0.167417086740232,0.378766899345767,-0.442005589795218,0.658485160981615,0.894033437211641
ENSG00000003056,3062.09123478598,0.269035051774713,0.186597516617792,1.44179331349718,0.149360689747953,0.553538654444083
